Aggregator,AUROC,AUROC_std,Noise_Level
Patch 20,0.5411,0.019020778112369637,0_25
Imbalance-w. class avg.,0.5275,0.0058608873048371065,0_25
Threshold 0.4,0.5239999999999999,0.008611620056644405,0_25
Threshold 0.5,0.5227,0.01171452090356241,0_25
Quantile 0.9,0.5206999999999999,0.004439594576084632,0_25
Quantile fg. ratio,0.5199999999999999,0.0033823069050575674,0_25
Quantile 0.75,0.5199,0.004836320915737528,0_25
Patch 10,0.5196999999999999,0.010959470790143118,0_25
Equally-w. class avg.,0.5195,0.002688865931949768,0_25
Threshold 0.3,0.519,0.011076100396800313,0_25
Quantile 0.6,0.5167999999999999,0.004390899680020042,0_25
Patch 50,0.5118,0.0017549928774784587,0_25
Mean,0.511,0.0032310988842807176,0_25
Threshold 0.4,0.6096999999999999,0.01996872554771588,0_50
Patch 20,0.6013,0.03806455043738204,0_50
Imbalance-w. class avg.,0.5967,0.01670778261769048,0_50
Quantile fg. ratio,0.5946,0.008027452896155817,0_50
Quantile 0.9,0.5903999999999999,0.021494185260204676,0_50
Threshold 0.3,0.5807,0.04639859911678368,0_50
Patch 50,0.5799000000000001,0.037722539681203864,0_50
Patch 10,0.5776,0.03597443536735498,0_50
Quantile 0.75,0.5718,0.011766052864066177,0_50
Quantile 0.6,0.5577000000000001,0.010144456614328825,0_50
Equally-w. class avg.,0.5573,0.005975784467331481,0_50
Mean,0.5416000000000001,0.005966573556070543,0_50
Threshold 0.5,0.5257999999999999,0.026000769219390405,0_50
Threshold 0.4,0.8661000000000001,0.03292339593662837,0_75
Patch 20,0.8494,0.04561885575066522,0_75
Quantile fg. ratio,0.8489,0.017063118120671808,0_75
Threshold 0.3,0.8484,0.11296548145340685,0_75
Quantile 0.9,0.8443,0.05324913144831566,0_75
Imbalance-w. class avg.,0.8342,0.03472693479131149,0_75
Quantile 0.75,0.7851,0.05768006588068365,0_75
Patch 50,0.7837000000000001,0.08957650361562458,0_75
Equally-w. class avg.,0.7661,0.012388300932734912,0_75
Patch 10,0.7430000000000001,0.059619124448451945,0_75
Quantile 0.6,0.7409,0.05106730852512206,0_75
Mean,0.6824,0.03931513703397203,0_75
Threshold 0.5,0.5489999999999999,0.029372776511593143,0_75
Threshold 0.4,0.972,0.026508866441249414,1_00
Quantile 0.9,0.9714,0.033266800266932836,1_00
Threshold 0.3,0.9656,0.05727896647112268,1_00
Quantile fg. ratio,0.9529000000000001,0.017037311994560687,1_00
Imbalance-w. class avg.,0.9432,0.029461839725312446,1_00
Patch 20,0.9422999999999999,0.017205522369286005,1_00
Quantile 0.75,0.907,0.06986987906100883,1_00
Patch 50,0.8622,0.10709491117695553,1_00
Equally-w. class avg.,0.8395999999999999,0.07751954592230272,1_00
Patch 10,0.8374999999999999,0.059182683278134654,1_00
Quantile 0.6,0.8301000000000001,0.08127207392456531,1_00
Mean,0.7597,0.049572875647878226,1_00
Threshold 0.5,0.7581,0.0630589406825075,1_00
