Aggregator,AUROC,AUROC_std,Noise_Level
Threshold 0.6,0.6247,0.03592700933837945,0_25
Threshold 0.5,0.602,0.03386089189610926,0_25
Threshold 0.9,0.5850000000000001,0.06218970975973435,0_25
Threshold 0.7,0.5711,0.048451522163911395,0_25
Quantile 0.9,0.5708,0.02407155998268493,0_25
Quantile 0.6,0.5674,0.011187493016757569,0_25
Threshold 0.4,0.5663,0.03753225279676136,0_25
Quantile 0.75,0.5655,0.011518246394308478,0_25
Patch 50,0.5652,0.020538743875904375,0_25
Patch 20,0.5645,0.026886985699404817,0_25
Mean,0.5641,0.006495382975622008,0_25
Threshold 0.8,0.5639000000000001,0.037611035614563984,0_25
Equally-w. class avg.,0.5588,0.00792464510246357,0_25
Imbalance-w. class avg.,0.5585,0.009322553298319092,0_25
Threshold 0.3,0.5276000000000001,0.03660054644400821,0_25
Patch 10,0.5254,0.02738393689738565,0_25
Threshold 0.2,0.5046,0.03920663209203263,0_25
Threshold 0.6,0.8123,0.023046691736559526,0_50
Threshold 0.5,0.7983999999999999,0.032480147782915,0_50
Threshold 0.4,0.7423,0.03225941722970211,0_50
Threshold 0.9,0.7284,0.1547134124761005,0_50
Quantile 0.9,0.722,0.03693128754863554,0_50
Threshold 0.7,0.7201,0.13063915951964788,0_50
Threshold 0.8,0.7048000000000001,0.11848206615349008,0_50
Patch 20,0.7012,0.0536604137143947,0_50
Quantile 0.75,0.6956,0.021886982432487146,0_50
Threshold 0.3,0.6951,0.033601636864890976,0_50
Quantile 0.6,0.6908,0.014436065946094865,0_50
Patch 50,0.6823,0.03977373505216731,0_50
Imbalance-w. class avg.,0.6797,0.014241839768793906,0_50
Mean,0.6785000000000001,0.011656328753085182,0_50
Equally-w. class avg.,0.6779000000000001,0.013273658124270045,0_50
Threshold 0.2,0.6726,0.02052997808084554,0_50
Patch 10,0.6453,0.047855929622148206,0_50
Threshold 0.5,0.9791000000000001,0.004836320915737493,0_75
Threshold 0.4,0.9692000000000001,0.009822423326246926,0_75
Threshold 0.6,0.9549000000000001,0.049726753362752334,0_75
Threshold 0.3,0.9486000000000001,0.040284488329876994,0_75
Quantile 0.9,0.9446,0.014101063789657838,0_75
Threshold 0.2,0.9334,0.06362043696800582,0_75
Quantile 0.75,0.9116,0.015165750888103109,0_75
Quantile 0.6,0.8916,0.017368937791356155,0_75
Patch 20,0.8835000000000001,0.0334130214138141,0_75
Patch 50,0.8789,0.02682144664256577,0_75
Threshold 0.7,0.8611,0.20850196641758562,0_75
Threshold 0.8,0.8562,0.2059072606781995,0_75
Mean,0.8508000000000001,0.017692936443677216,0_75
Imbalance-w. class avg.,0.8505,0.013961017154921089,0_75
Equally-w. class avg.,0.8494,0.014569831845289085,0_75
Threshold 0.9,0.8411,0.20253026934263432,0_75
Patch 10,0.8189000000000001,0.051506407368404186,0_75
Quantile 0.9,0.9999,0.00017320508075691673,1_00
Threshold 0.5,0.9998,0.0003464101615137854,1_00
Quantile 0.75,0.9928,0.005059644256269377,1_00
Patch 20,0.9916,0.006893475175845609,1_00
Threshold 0.4,0.9892000000000001,0.018706148721743834,1_00
Patch 50,0.9818,0.006359245238233881,1_00
Patch 10,0.9806,0.006873136110975816,1_00
Quantile 0.6,0.9795999999999999,0.008357032966310496,1_00
Threshold 0.3,0.9736,0.04572614131981832,1_00
Threshold 0.6,0.9687,0.0542131902769059,1_00
Threshold 0.2,0.9667,0.05767729189204361,1_00
Mean,0.947,0.014525839046333987,1_00
Equally-w. class avg.,0.9318,0.013405968819895094,1_00
Imbalance-w. class avg.,0.9306000000000001,0.013768079023596561,1_00
Threshold 0.7,0.875,0.21650635094610965,1_00
Threshold 0.8,0.875,0.21650635094610965,1_00
Threshold 0.9,0.8747,0.2163333307652799,1_00
