Aggregator,AUROC,AUROC_std,Noise_Level
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Threshold 0.3,0.5682283666154634,0.05699278381658139,1_00
Threshold 0.4,0.5625192012288787,0.09175778677157169,1_00
Threshold 0.5,0.5185227854582694,0.01927364310614952,1_00
Quantile fg. ratio,0.500179211469534,0.13449030506303783,1_00
