Aggregator,AUROC,AUROC_std,Noise_Level
Imbalance-w. class avg.,0.5694666666666667,0.029821394259081098,0_25
Patch 20,0.5650666666666666,0.017781888413651577,0_25
Quantile 0.6,0.5608000000000001,0.0037665191711534697,0_25
Patch 50,0.5579999999999999,0.006796077299933134,0_25
Mean,0.5573333333333332,0.005249338582674564,0_25
Quantile 0.75,0.5554666666666668,0.005845416057808803,0_25
Equally-w. class avg.,0.5541333333333334,0.01484617421724827,0_25
Quantile 0.9,0.5350666666666667,0.03004766583650423,0_25
Threshold 0.9,0.5286666666666666,0.07215415595946101,0_25
Threshold 0.6,0.5238666666666667,0.07716118771046031,0_25
Threshold 0.7,0.5128,0.062197963525075846,0_25
Patch 10,0.5121333333333333,0.019955506062794323,0_25
Threshold 0.8,0.5053333333333333,0.06908648364349007,0_25
Threshold 0.5,0.49280000000000007,0.09545903135202381,0_25
Threshold 0.4,0.456,0.0802403057488359,0_25
Threshold 0.2,0.43920000000000003,0.03047534522637384,0_25
Threshold 0.3,0.4378666666666667,0.0542599504443399,0_25
Patch 20,0.6969333333333333,0.030984440539657217,0_50
Imbalance-w. class avg.,0.6898666666666666,0.08363497407716998,0_50
Quantile 0.6,0.6709333333333333,0.01971079794314669,0_50
Mean,0.6644,0.018454990291697986,0_50
Quantile 0.75,0.664,0.023084771315017752,0_50
Patch 50,0.6574666666666666,0.015974424002830917,0_50
Equally-w. class avg.,0.6551999999999999,0.04951067225019938,0_50
Quantile 0.9,0.636,0.0840171411082286,0_50
Threshold 0.6,0.6169333333333334,0.20487038720995174,0_50
Threshold 0.7,0.5943999999999999,0.16918565739053254,0_50
Patch 10,0.5894666666666667,0.02482221227494082,0_50
Threshold 0.9,0.5754666666666667,0.16532483849144455,0_50
Threshold 0.8,0.5649333333333334,0.1819879361081083,0_50
Threshold 0.5,0.5632,0.24476535702586671,0_50
Threshold 0.2,0.5217333333333333,0.1340488799737701,0_50
Threshold 0.4,0.5075999999999999,0.230970820667893,0_50
Threshold 0.3,0.4950666666666667,0.1808437508520054,0_50
Patch 20,0.8730666666666668,0.015024720370849553,0_75
Quantile 0.75,0.8668,0.05215464185158084,0_75
Quantile 0.6,0.8576,0.04148188359593461,0_75
Imbalance-w. class avg.,0.8527999999999999,0.11714242044053325,0_75
Patch 50,0.8407999999999999,0.02264862026702731,0_75
Quantile 0.9,0.8377333333333334,0.13446400592310526,0_75
Equally-w. class avg.,0.8273333333333334,0.09350099227043293,0_75
Mean,0.8241333333333333,0.04120884478954597,0_75
Threshold 0.2,0.7850666666666667,0.2361489548757074,0_75
Threshold 0.7,0.7493333333333333,0.24947781909865696,0_75
Threshold 0.6,0.7424,0.3013526837444791,0_75
Patch 10,0.7309333333333333,0.046239184921689776,0_75
Threshold 0.3,0.7206666666666667,0.31133815842085416,0_75
Threshold 0.5,0.6890666666666666,0.36662734334592245,0_75
Threshold 0.4,0.6819999999999999,0.3686980336264353,0_75
Threshold 0.8,0.6513333333333333,0.3010908759088451,0_75
Threshold 0.9,0.5885333333333334,0.22989790970969895,0_75
Patch 20,0.9814666666666666,0.01723665345193844,1_00
Quantile 0.75,0.9661333333333334,0.041962946618283224,1_00
Quantile 0.6,0.9590666666666667,0.033083866494444406,1_00
Patch 50,0.9589333333333333,0.030676520156120827,1_00
Quantile 0.9,0.9254666666666665,0.10512333497162064,1_00
Mean,0.9225333333333333,0.03103947307685637,1_00
Patch 10,0.8961333333333332,0.09597684906036227,1_00
Imbalance-w. class avg.,0.8956,0.07481675391693136,1_00
Threshold 0.2,0.8441333333333333,0.22042875392188643,1_00
Threshold 0.7,0.8345333333333333,0.22725077679857456,1_00
Threshold 0.3,0.8078666666666666,0.2717175657839507,1_00
Equally-w. class avg.,0.8028,0.11887606992157843,1_00
Threshold 0.6,0.7958666666666666,0.28812262821390633,1_00
Threshold 0.4,0.7638666666666666,0.3339429625283668,1_00
Threshold 0.5,0.7552,0.3459166759013891,1_00
Threshold 0.8,0.7373333333333333,0.3084454498862895,1_00
Threshold 0.9,0.5546666666666668,0.32928728422997994,1_00
